species,Taxon,logBRAIN,logMASS,BRAIN,MASS
Ficedula_albicollis,Other Passeriformes,-0.78,2.445,0.458406011,11.5305496
Formicarius_analis,Other Passeriformes,0.3,3.992,1.349858808,54.16310732
Formicarius_colma,Other Passeriformes,0.077,3.812,1.080042076,45.24083011
Foudia_madagascariensis,Other Passeriformes,-0.18,3.006,0.835270211,20.20641241
Fringilla_coelebs,Other Passeriformes,-0.301,3.025,0.740077773,20.59400471
Furnarius_rufus,Other Passeriformes,0.311,3.972,1.364789221,53.09060594
Galerida_cristata,Other Passeriformes,0.122,3.409,1.129754102,30.23499414
Geositta_cunicularia,Other Passeriformes,0.02,3.691,1.02020134,40.08491183
Geothlypis_trichas,Other Passeriformes,-0.528,2.468,0.589783358,11.79882559
Gerygone_flavolateralis,Other Passeriformes,-1.075,1.856,0.341297755,6.398093146
Gerygone_hypoxantha,Other Passeriformes,-0.879,1.872,0.415197902,6.501285977
Glyphorynchus_spirurus,Other Passeriformes,-0.485,2.691,0.615697197,14.74641496
Grallaria_quitensis,Other Passeriformes,0.777,4.376,2.174937656,79.51931912
Grallina_bruijni,Other Passeriformes,0,3.512,1,33.51523126
Grallina_cyanoleuca,Other Passeriformes,0.615,4.699,1.8496566,109.8372802
Grantiella_picta,Other Passeriformes,-0.357,3.135,0.699772498,22.98863584
Gymnocichla_nudiceps,Other Passeriformes,0.058,3.489,1.059714996,32.75317815
Gymnorhina_tibicen,Other Passeriformes,1.619,5.843,5.048039752,344.8122272
Gymnorhinus_cyanocephalus,Corvidae,1.253,4.527,3.500829709,92.4807024
Habia_fuscicauda,Other Passeriformes,0.289,3.681,1.335091729,39.6860603
Helmitheros_vermivorum,Other Passeriformes,-0.538,2.434,0.583914915,11.4044086
Hemithraupis_guira,Other Passeriformes,-0.63,2.464,0.532591801,11.75172455
Hemitriccus_margaritaceiventer,Other Passeriformes,-0.799,2.044,0.449778518,7.721433243
Henicorhina_leucosticta,Other Passeriformes,-0.242,2.631,0.785056178,13.88765061
Heteromyias_albispecularis,Other Passeriformes,0.049,3.651,1.050220351,38.51315996
Hirundo_ariel,Other Passeriformes,-0.968,2.351,0.379841963,10.49606054
Hirundo_neoxena,Other Passeriformes,-0.75,2.591,0.472366553,13.34310804
Hirundo_rustica,Other Passeriformes,-0.598,2.735,0.549910358,15.40974344
Hylacola_pyrrhopygia,Other Passeriformes,0.03,2.991,1.030454534,19.90557812
Hylocichla_mustelina,Other Passeriformes,0.243,3.669,1.275068624,39.21267357
Hylophylax_naevius,Other Passeriformes,-0.543,2.526,0.581002627,12.50339241
Hymenops_perspicillatus,Other Passeriformes,-0.281,3.141,0.755028335,23.12698228
Hypocnemis_cantator,Other Passeriformes,-0.515,2.303,0.597500595,10.00414993
Hypothymis_azurea,Other Passeriformes,-0.673,2.321,0.510175752,10.18585507
Icterus_galbula,Other Passeriformes,0.109,3.505,1.11516235,33.28144385
Icterus_spurius,Other Passeriformes,-0.142,3.091,0.867621256,21.99906605
Ifrita_kowaldi,Other Passeriformes,0.223,3.332,1.249820574,27.9942743
Irena_puella,Other Passeriformes,0.309,4.196,1.362062371,66.4201185
Iridosornis_rufivertex,Other Passeriformes,0.281,3.102,1.324453604,22.24239161
Ixos_philippinus,Other Passeriformes,0.111,3.608,1.117394907,36.89219459
Junco_hyemalis,Other Passeriformes,-0.159,2.946,0.852996359,19.02968256
Lalage_sueurii,Other Passeriformes,-0.111,2.939,0.894938749,18.89693992
Lanius_collurio,Other Passeriformes,-0.02,3.374,0.980198673,29.1950741
Lanius_cristatus,Other Passeriformes,0.045,3.392,1.04602786,29.72534355
Lanius_ludovicianus,Other Passeriformes,0.336,4.025,1.399339025,55.98030878
Lanius_senator,Other Passeriformes,0.025,3.323,1.025315121,27.74345621
Lepidocolaptes_affinis,Other Passeriformes,0.133,3.366,1.142249998,28.96244527
Lepidocolaptes_souleyetii,Other Passeriformes,0,3.314,1,27.49488535
Lichenostomus_chrysops,Other Passeriformes,-0.32,2.876,0.726149037,17.74315841
Lichenostomus_cratitius,Other Passeriformes,-0.086,3.025,0.917594231,20.59400471
Lichenostomus_flavescens,Other Passeriformes,-0.661,2.552,0.516334741,12.83274362
Lichenostomus_flavus,Other Passeriformes,-0.35,3.047,0.70468809,21.05209331
Lichenostomus_frenatus,Other Passeriformes,0.039,3.401,1.039770484,29.99407913
Lichenostomus_hindwoodi,Other Passeriformes,-0.113,3.205,0.89315066,24.65550002
Lichenostomus_keartlandi,Other Passeriformes,-0.378,2.757,0.685230501,15.75251445
Lichenostomus_leucotis,Other Passeriformes,-0.124,3.119,0.883379841,22.62374458
Lichenostomus_melanops,Other Passeriformes,-0.041,2.986,0.95982913,19.80629864
Lichenostomus_ornatus,Other Passeriformes,-0.274,2.957,0.760332075,19.24016459
Lichenostomus_penicillatus,Other Passeriformes,-0.252,2.856,0.777244738,17.39182033
Lichenostomus_unicolor,Other Passeriformes,-0.205,3.401,0.814647316,29.99407913
Lichenostomus_virescens,Other Passeriformes,-0.089,3.504,0.914845574,33.24817904
Lichmera_indistincta,Other Passeriformes,-0.873,2.214,0.417696578,9.152252282
Limnothlypis_swainsonii,Other Passeriformes,-0.357,2.514,0.699772498,12.35424835
Lipaugus_vociferans,Other Passeriformes,0.47,4.22,1.599994193,68.03348429
Lonchura_cucullata,Other Passeriformes,-0.948,2.186,0.387515279,8.899543649
Lonchura_malacca,Other Passeriformes,-0.503,2.485,0.604713794,12.00112025
Loxia_curvirostra,Other Passeriformes,0.347,3.535,1.414816725,34.29501471
Loxia_leucoptera,Other Passeriformes,0.107,3.219,1.112934254,25.00310457
Loxigilla_violacea,Other Passeriformes,0.138,3.333,1.14797555,28.02228258
Loxipasser_anoxanthus,Other Passeriformes,-0.572,2.425,0.564395518,11.30222942
Luscinia_megarhynchos,Other Passeriformes,-0.365,2.934,0.694196651,18.80269104
Machetornis_rixosa,Other Passeriformes,0.01,3.548,1.010050167,34.74376043
Macronous_gularis,Other Passeriformes,-0.4,2.603,0.670320046,13.5041899
Malurus_alboscapulatus,Other Passeriformes,-0.755,2.079,0.470010615,7.996468446
Malurus_coronatus,Other Passeriformes,-0.744,2.197,0.475209272,8.997979031
Malurus_cyaneus,Other Passeriformes,-0.763,2.073,0.46626553,7.948633285
Malurus_elegans,Other Passeriformes,-0.567,2.31,0.567224562,10.07442466
Malurus_lamberti,Other Passeriformes,-0.764,2.09,0.465799498,8.084915164
Malurus_leucopterus,Other Passeriformes,-0.994,2.079,0.370093353,7.996468446
Malurus_melanocephalus,Other Passeriformes,-0.799,1.946,0.449778518,7.000628985
